Samples;Método;Hilos;Valor Pi;Tiempo (s);Tiempo (ms);Tiempo (us)
3000;Secuencial;1;3,092000000000;0,000653600000;0,65360000;653,60000008
3000;Paralelo;4;3,104000000000;0,007145800000;7,14580000;7145,80000022
300000;Secuencial;1;3,138546666667;0,064142499999;64,14250000;64142,49999943
300000;Paralelo;4;3,142066666667;0,033923699999;33,92370000;33923,69999892
3000000;Secuencial;1;3,142988000000;0,459494700001;459,49470000;459494,70000050
3000000;Paralelo;4;3,140869333333;0,155642000002;155,64200000;155642,00000154
