Metodo;Samples;Hilos;Valor Pi;Tiempo (s);Tiempo (ms);Tiempo (us)
Secuencial;3000;1;3,092000000000;0,000346699991;0,34669999;346,69999150
Paralelo;3000;8;3,114666666667;0,002001999994;2,00199999;2001,99999381
